,m1,m2,m3,m4,m5,m6,m7,p-p-t
0,0.0021040855919087216,2.7295005141095034e-06,6.994106027419349e-09,4.531308689626634e-09,2.514861463118751e-17,7.480438644144173e-12,4.275590317245639e-18,papel
1,0.0020898718805035274,2.6996337253253396e-06,6.179722821926613e-09,4.007224497342616e-09,1.966198563101744e-17,6.582801521454852e-12,3.3249711635318347e-18,papel
2,0.002178379230691145,3.372018113780455e-06,6.425154118675195e-09,5.345381871574531e-09,3.132509784564599e-17,9.761306704035592e-12,2.8076106935305455e-19,papel
3,0.0021456784041987615,3.2239838307628095e-06,6.231622596923049e-09,5.176543190166219e-09,2.9399244581314116e-17,9.231794697300333e-12,3.1013362085148406e-19,papel
4,0.002117890207627887,3.1018947812489162e-06,6.006564590255697e-09,4.961816509653984e-09,2.7085342812469062e-17,8.67096203716916e-12,3.66654762001326e-19,papel
5,0.002118576427701263,3.1079377717851405e-06,6.042558005333338e-09,5.0212573037140724e-09,2.7656521950917733e-17,8.78510776484976e-12,3.334608235666282e-19,papel
6,0.0021343696369277507,3.1669368664765427e-06,6.170129301658798e-09,5.102872166333941e-09,2.863110476981981e-17,9.011921830152536e-12,3.4243240014243764e-19,papel
7,0.0021291191400918024,2.9513605558846683e-06,5.841613183570769e-09,4.879467824147964e-09,2.579426891029181e-17,8.35407409846934e-12,3.6486215046310776e-18,papel
8,0.0021291555205883925,3.1496091296460243e-06,6.112236683581402e-09,5.074272549828493e-09,2.8257260744744484e-17,8.938654395063406e-12,3.360422937266541e-19,papel
9,0.002135543354518442,3.170055051686516e-06,6.187262620073522e-09,5.124301292718449e-09,2.88515620480055e-17,9.054102086281486e-12,3.498670491224201e-19,papel
10,0.0021291555205883925,3.1496091296460243e-06,6.112236683581402e-09,5.074272549828493e-09,2.8257260744744484e-17,8.938654395063406e-12,3.360422937266541e-19,papel
11,0.0021277217789875923,3.0613522881101284e-06,6.019172149097745e-09,4.813207301891526e-09,2.5900052534712267e-17,8.357481573365158e-12,6.07891693528548e-19,papel
12,0.002090591985658286,2.656610872649614e-06,6.369689047288288e-09,4.178061834698401e-09,2.1137982837742143e-17,6.809573213792698e-12,4.212690351606963e-18,papel
13,0.0021500674919443198,3.229811460910412e-06,6.222908426691683e-09,5.151815013119753e-09,2.9168006055160554e-17,9.191457486049474e-12,3.4486877026983164e-19,papel
14,0.0021691578149712946,3.3016508688972723e-06,6.3333601004793265e-09,5.26572175454458e-09,3.0406982530730124e-17,9.498870535187766e-12,3.6112750457618366e-19,papel
15,0.002151813188682419,3.2123473765740423e-06,6.133481010339572e-09,5.074515359326904e-09,2.830596880928263e-17,9.026370184244508e-12,4.985280909283491e-19,papel
16,0.0021654688023647795,3.1871945048899624e-06,6.085313489736675e-09,5.121772838653392e-09,2.853537381599404e-17,9.087420878136713e-12,1.827049679122468e-18,papel
17,0.0021994164896665027,3.435051967722624e-06,6.420693529133285e-09,5.357696620372958e-09,3.142171633286272e-17,9.869811548904138e-12,3.5836762642686927e-19,papel
18,0.0021773323856362674,3.3366718927021393e-06,6.187306178834482e-09,5.1522874578239385e-09,2.908835521801509e-17,9.343730972209375e-12,3.5183906890232946e-19,papel
19,0.002172552944407098,3.3286812629553134e-06,6.0900648109012316e-09,5.086873777560605e-09,2.831115393167259e-17,9.220640884099448e-12,3.318254719376175e-19,papel
20,0.002168625585231095,3.3100433037745813e-06,6.315386852239385e-09,5.2357720556397445e-09,3.0105535630294286e-17,9.455688074584796e-12,3.2120379702213154e-19,papel
21,0.002155765306347225,3.2517088391587112e-06,6.246308440862265e-09,5.2061565792486985e-09,2.968639001586675e-17,9.320578076528987e-12,3.4988851921038255e-19,papel
22,0.0021684429922559216,3.2940431780748534e-06,6.245595155137643e-09,5.1817885571266326e-09,2.9475681525981e-17,9.337412586848875e-12,4.128243663856883e-19,papel
23,0.0021001872754973145,2.7499727862973815e-06,6.264203469858547e-09,4.126675359264989e-09,2.0697645580229575e-17,6.841493363760573e-12,3.4386664802621627e-18,papel
24,0.0020899450875701874,2.9197873987244467e-06,5.655814742653643e-09,4.50423354416375e-09,2.2727543316623158e-17,7.634203485549338e-12,5.485150099477288e-19,papel
25,0.0021535364012364097,3.222334096670905e-06,6.053151843732055e-09,5.042739777523011e-09,2.785628301128919e-17,8.988647071167898e-12,4.910045098865226e-19,papel
